Epoch,Governance_Pressure_Gp,Decentralization_Entropy_DE,Top_f_Coalition_Share,Gini_Coefficient,Lyapunov_Energy_V,TPS,Latency_ms
1,0.068466,1.0,0.328125,0.0,0.00234382,129361.24,52.992
2,0.066491,1.0,0.328125,0.0,0.00221052,129567.21,53.13
3,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.793
4,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.025
5,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.9
6,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.996
7,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.048
8,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.877
9,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.988
10,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.007
11,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.019
12,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.956
13,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.953
14,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.906
15,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.094
16,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.92
17,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.907
18,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.797
19,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.829
20,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.104
21,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.963
22,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.971
23,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.056
24,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.239
25,0.317786,1.0,0.328125,0.0,0.05049399,111111.96,56.581
26,0.366111,1.0,0.328225,0.00017783,0.06701863,108898.53,57.33
27,0.400023,1.0,0.328225,0.00016951,0.08000902,107526.14,58.139
28,0.400023,1.0,0.328225,0.0001695,0.08000902,107526.14,57.997
29,0.400023,1.0,0.328225,0.00016948,0.08000902,107526.14,57.949
30,0.400023,1.0,0.328225,0.0001694,0.08000902,107526.14,57.951
31,0.400023,1.0,0.328225,0.00016958,0.08000902,107526.14,58.014
32,0.400023,1.0,0.328225,0.00016939,0.08000902,107526.14,57.923
33,0.400023,1.0,0.328225,0.00016969,0.08000902,107526.14,58.107
34,0.400023,1.0,0.328225,0.00016968,0.08000902,107526.14,58.05
35,0.265457,1.0,0.328125,0.0,0.03523372,113899.83,56.116
36,0.227506,1.0,0.328125,0.0,0.0258794,116213.81,55.462
37,0.222321,1.0,0.328125,0.0,0.02471326,116550.9,55.226
38,0.21577,1.0,0.328125,0.0,0.02327833,116984.35,55.216
39,0.207655,1.0,0.328125,0.0,0.02156031,117533.25,55.053
40,0.197845,1.0,0.328125,0.0,0.01957134,118214.89,55.016
41,0.18633,1.0,0.328125,0.0,0.01735944,119041.03,54.694
42,0.173271,1.0,0.328125,0.0,0.01501149,120013.11,54.481
43,0.159029,1.0,0.328125,0.0,0.01264505,121117.66,54.371
44,0.14414,1.0,0.328125,0.0,0.01038819,122323.87,54.105
45,0.129252,1.0,0.328125,0.0,0.00835299,123585.18,53.907
46,0.115009,1.0,0.328125,0.0,0.00661352,124845.67,53.69
47,0.10195,1.0,0.328125,0.0,0.00519692,126049.66,53.689
48,0.090435,1.0,0.328125,0.0,0.00408926,127151.18,53.241
49,0.080625,1.0,0.328125,0.0,0.00325021,128120.08,53.112
50,0.07251,1.0,0.328125,0.0,0.00262888,128943.4,53.128
51,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.949
52,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.965
53,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.012
54,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.895
55,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.11
56,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.957
57,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.939
58,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.979
59,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.02
60,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.018
61,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.022
62,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.012
63,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.034
64,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.903
65,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.915
66,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.849
67,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.07
68,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.081
69,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.995
70,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.127
71,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.817
72,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.012
73,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.0
74,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.015
75,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.874
76,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.885
77,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.897
78,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.976
79,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.868
80,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.954
81,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.985
82,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.982
83,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.864
84,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.814
85,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.108
86,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.084
87,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.988
88,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.884
89,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.043
90,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.957
91,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.975
92,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.933
93,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.994
94,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.104
95,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.012
96,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,52.94
97,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.023
98,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.073
99,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.092
100,0.065959,1.0,0.328125,0.0,0.00217533,129622.81,53.047
