Transaction_Index,Mined_Block_Number,Sepolia_Tx_Hash,Inclusion_Latency_Seconds,Gas_Used,Effective_Gas_Price_Gwei,Status
1,11640612,954562f534e6e4c41044a03344ce57b0ecdd332d4faec5a30133a6c901e1120b,12.72,160000,1.36,1 (Success)
2,11640613,5850eac28b2fb60ae6e19e0260a00fe8b78fe5c6965ce1c6c5921b316a87cef6,8.35,160000,1.25,1 (Success)
3,11640614,a23de3b5120f6f02bb204b8c7a5a7215107775cedd33bebad8e612eac12c6881,9.71,160000,1.41,1 (Success)
4,11640615,4fe4183f33d42b0e6b8471599bf13e56b74e5b40d619db379b9a8486b1892237,8.88,160000,1.36,1 (Success)
5,11640616,7260169e99f289d68e49b1b25133c7562e46723269b3b9fdd88b191e3a4ba7a6,20.12,160000,1.24,1 (Success)
6,11640617,a55a826390d52f926dd0be090a29114949249e4f3cebe2b591e6928c6459b41f,9.25,160000,1.4,1 (Success)
7,11640618,3e3fafdb3c95e33011430a769c59bca433354552010fae95ae43a9cac4c293c4,9.2,160000,1.39,1 (Success)
8,11640619,634238af39da16adfaab7964fb3d4e79c5cd9a5e26411235bc535ed15ff851ea,9.11,160000,1.32,1 (Success)
9,11640620,45495083fa8bc4884a381354eb536b3a94160ea2e713a0617af8a2ae8c963933,9.4,160000,1.25,1 (Success)
10,11640621,4c0d455a840f8ea17bfd735626f50dd9c88ee4e5ba1aeccb0602871b24c89b41,8.37,160000,1.4,1 (Success)
11,11640622,93d462d46ff2a9cf453b8df9882504028355a00a1340f387cc313f628ec96594,9.47,160000,1.32,1 (Success)
12,11640623,8446eb7318b506543d6fa3e60dbe5433474c2231a5606c61b428f067d0f21c3a,21.08,160000,1.23,1 (Success)
13,11640624,4c0f0b9d64287d773bf4dbc5d11866fb38564b1163c8ecf5e89ea541e7c30de0,8.11,160000,1.38,1 (Success)
14,11640625,27a393ad8b2108cac973130cb596a9766e77c6b2fa5628427a3140d7c040c516,9.83,160000,1.38,1 (Success)
15,11640626,7463d879b372250e915e6cda1d11c024421923d380cee89c2617f8d911401f9d,9.03,160000,1.34,1 (Success)
16,11640627,0e8cee061413c0f9e0ce8fba6d72bc917ba38f2946fdb5acfeef6dfd9d7a2699,8.5,160000,1.28,1 (Success)
17,11640628,2a726979706a764a2909b136ba9821b871bedc21d7a58215cc113dbf9da408aa,9.63,160000,1.2,1 (Success)
18,11640629,623d134cf99a10fb67adaaf25376d2e3373afd4ece4340be5d64e8b10cc29da8,8.8,160000,1.35,1 (Success)
19,11640630,87b37973458d3dd724b9573bcb123ef4eb35ba2584a37062022951c0246b83bb,9.14,160000,1.29,1 (Success)
20,11640631,7bbe068073cdbc840dfa5df4cd17f483564c113fbaeb04fac167a258798b4000,7.82,160000,1.19,1 (Success)
21,11640632,3125141b93f35db942d8e9071b8c387bd956998f0a8d6c1a99155635a3191498,21.23,160000,1.34,1 (Success)
22,11640633,563eb978316f58d93bc03cece86553ccb9722b80d1ef47f842aa92079c5c3d8c,20.94,160000,1.28,1 (Success)
23,11640634,ad3690a83fcaddeda96f664d164cd3e82a39630822cbe99dc4692db17783bed4,8.92,160000,1.25,1 (Success)
24,11640635,039e19c7c2c407770be9a2eca75be4444a2cf7ad5849af6acff1b46c0397e77f,10.11,160000,1.2,1 (Success)
25,11640636,4088379eab41f5dabfd79d707d2492148ba89f06588849f56e5facc6994cdaf6,8.83,160000,1.35,1 (Success)
26,11640637,b64e2fa73d378933f2d23c306fecf570d99d91830c4e1fbf384459697a1b9c45,8.25,160000,1.31,1 (Success)
27,11640638,998671e8f9a0f4f922c9dd387dba5f9600a241f69ac4bf5015cdc18ae052ae68,10.1,160000,1.23,1 (Success)
28,11640639,abbd38a0bb6873a2c24d03ca8943fec06ae1edc459a80a19dbd763106e489b54,7.94,160000,1.39,1 (Success)
29,11640640,5bbe8cd2f9e8e36753fa4a47f4c38944341ddf979ddf9cb7b9dd7e2e1934d839,9.99,160000,1.34,1 (Success)
